Date,2026-05-06 23:14:25
Duration (s),4.2220
Comment,still with tapping on table

X,Y,Z,w,x,y,z,T
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7340,23393404
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7340,23393422
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3120,0.7340,23393458
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23393477
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23393495
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393531
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393549
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393568
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393604
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393622
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393640
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393677
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393695
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3120,0.7360,23393713
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393731
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3120,0.7360,23393768
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3120,0.7360,23393786
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393804
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393841
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393859
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393877
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393913
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393932
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393950
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23393986
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394004
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394023
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394059
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394077
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394095
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394132
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394150
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394168
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394205
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394223
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394241
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394277
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394296
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394314
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394350
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394368
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394387
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394423
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394441
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394478
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394496
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394514
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394550
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394569
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394587
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394623
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394641
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394660
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394696
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3160,0.7360,23394714
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394732
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394769
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394787
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3160,0.7360,23394805
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3160,0.7360,23394842
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394860
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394878
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394914
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394933
3.3841,0.4612,-1.4457,32.7580,0.0060,0.3140,0.7360,23394951
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23394987
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23395005
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23395024
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23395060
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23395078
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23395096
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3140,0.7360,23395133
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3140,0.7380,23395151
3.3841,0.4612,-1.4456,32.7580,0.0060,0.3120,0.7380,23395169
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3140,0.7380,23395206
3.3841,0.4612,-1.4456,32.7580,0.0060,0.3120,0.7380,23395224
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3120,0.7380,23395242
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3140,0.7360,23395278
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3120,0.7380,23395297
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3140,0.7380,23395315
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3140,0.7360,23395351
3.3841,0.4612,-1.4456,32.7580,0.0080,0.3140,0.7360,23395369
3.3841,0.4612,-1.4457,32.7580,0.0080,0.3160,0.7360,23395388
3.3841,0.4613,-1.4455,32.7580,0.0060,0.3140,0.7360,23395424
3.3841,0.4613,-1.4455,32.7580,0.0040,0.3120,0.7360,23395442
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3140,0.7360,23395460
3.3841,0.4612,-1.4455,32.7580,0.0060,0.3120,0.7360,23395497
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3120,0.7360,23395515
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7360,23395533
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7380,23395570
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7380,23395588
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7380,23395606
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7360,23395642
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7360,23395661
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3140,0.7380,23395679
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395715
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395733
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395752
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395770
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395806
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395824
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395843
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7380,23395879
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395897
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7360,23395915
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7380,23395952
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7380,23395970
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23395988
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7380,23396025
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396043
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3180,0.7380,23396061
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396097
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396116
3.3841,0.4612,-1.4455,32.7580,0.0080,0.3160,0.7380,23396134
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396170
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396188
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396207
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396243
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396261
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396279
3.3841,0.4612,-1.4455,32.7580,0.0100,0.3160,0.7380,23396316
3.3841,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396334
3.3841,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396352
3.3841,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396389
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396407
3.3842,0.4611,-1.4455,32.7580,0.0080,0.3160,0.7380,23396425
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396461
3.3842,0.4611,-1.4455,32.7580,0.0080,0.3160,0.7380,23396480
3.3842,0.4611,-1.4455,32.7580,0.0080,0.3160,0.7380,23396498
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396534
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396552
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396571
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396607
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396625
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396643
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3160,0.7380,23396680
3.3842,0.4611,-1.4456,32.7580,0.0100,0.3160,0.7380,23396698
3.3842,0.4611,-1.4456,32.7580,0.0100,0.3180,0.7380,23396716
3.3842,0.4611,-1.4456,32.7580,0.0100,0.3180,0.7380,23396734
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396771
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396789
3.3842,0.4611,-1.4455,32.7580,0.0080,0.3180,0.7380,23396807
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396844
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396862
3.3842,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396880
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396916
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7400,23396935
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23396953
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7400,23396989
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7400,23397007
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7400,23397026
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23397062
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397080
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397098
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397135
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397153
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397171
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397208
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397226
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397244
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397280
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397299
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397317
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3200,0.7380,23397353
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397371
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397390
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397426
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3200,0.7380,23397444
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23397462
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23397481
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3180,0.7380,23397517
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3180,0.7380,23397535
3.3843,0.4611,-1.4455,32.7580,0.0120,0.3180,0.7380,23397553
3.3843,0.4611,-1.4455,32.7580,0.0100,0.3180,0.7380,23397590
3.3843,0.4611,-1.4456,32.7580,0.0080,0.3180,0.7380,23397608
3.3843,0.4611,-1.4455,32.7580,0.0080,0.3180,0.7380,23397626
